Индекс(i)	Узел(xi)	Числ.реш(vi)	Точн.реш(ui)	Погрешность|vi-ui|	Невязка(ri)
--------------------------------------------------------------------------------------
0	0.0000000000	10.0000000000	10.0000000000	0.0000000000	0.0000000000
1	0.0009765625	10.0000858307	10.0000858307	0.0000000000	0.0000000298
2	0.0019531250	10.0003433228	10.0003433228	0.0000000000	0.0000000149
3	0.0029296875	10.0007724762	10.0007724762	0.0000000000	0.0000000149
4	0.0039062500	10.0013732910	10.0013732910	0.0000000000	0.0000000298
5	0.0048828125	10.0021457672	10.0021457672	0.0000000000	0.0000000149
6	0.0058593750	10.0030899048	10.0030899048	0.0000000000	0.0000000149
7	0.0068359375	10.0042057037	10.0042057037	0.0000000000	0.0000000298
8	0.0078125000	10.0054931641	10.0054931641	0.0000000000	0.0000000149
9	0.0087890625	10.0069522858	10.0069522858	0.0000000000	0.0000000000
10	0.0097656250	10.0085830688	10.0085830688	0.0000000000	0.0000000149
11	0.0107421875	10.0103855133	10.0103855133	0.0000000000	0.0000000000
12	0.0117187500	10.0123596191	10.0123596191	0.0000000000	0.0000000149
13	0.0126953125	10.0145053864	10.0145053864	0.0000000000	0.0000000000
14	0.0136718750	10.0168228149	10.0168228149	0.0000000000	0.0000000149
15	0.0146484375	10.0193119049	10.0193119049	0.0000000000	0.0000000000
16	0.0156250000	10.0219726563	10.0219726562	0.0000000000	0.0000000149
17	0.0166015625	10.0248050690	10.0248050690	0.0000000000	0.0000000149
18	0.0175781250	10.0278091431	10.0278091431	0.0000000000	0.0000000000
19	0.0185546875	10.0309848785	10.0309848785	0.0000000000	0.0000000149
20	0.0195312500	10.0343322754	10.0343322754	0.0000000000	0.0000000000
21	0.0205078125	10.0378513336	10.0378513336	0.0000000000	0.0000000298
22	0.0214843750	10.0415420532	10.0415420532	0.0000000000	0.0000000149
23	0.0224609375	10.0454044342	10.0454044342	0.0000000000	0.0000000000
24	0.0234375000	10.0494384766	10.0494384766	0.0000000000	0.0000000000
25	0.0244140625	10.0536441803	10.0536441803	0.0000000000	0.0000000298
26	0.0253906250	10.0580215454	10.0580215454	0.0000000000	0.0000000149
27	0.0263671875	10.0625705719	10.0625705719	0.0000000000	0.0000000298
28	0.0273437500	10.0672912598	10.0672912598	0.0000000000	0.0000000298
29	0.0283203125	10.0721836090	10.0721836090	0.0000000000	0.0000000149
30	0.0292968750	10.0772476196	10.0772476196	0.0000000000	0.0000000000
31	0.0302734375	10.0824832916	10.0824832916	0.0000000000	0.0000000149
32	0.0312500000	10.0878906250	10.0878906250	0.0000000000	0.0000000000
33	0.0322265625	10.0934696198	10.0934696198	0.0000000000	0.0000000149
34	0.0332031250	10.0992202759	10.0992202759	0.0000000000	0.0000000149
35	0.0341796875	10.1051425934	10.1051425934	0.0000000000	0.0000000000
36	0.0351562500	10.1112365723	10.1112365723	0.0000000000	0.0000000000
37	0.0361328125	10.1175022125	10.1175022125	0.0000000000	0.0000000000
38	0.0371093750	10.1239395142	10.1239395142	0.0000000000	0.0000000000
39	0.0380859375	10.1305484772	10.1305484772	0.0000000000	0.0000000000
40	0.0390625000	10.1373291016	10.1373291016	0.0000000000	0.0000000149
41	0.0400390625	10.1442813873	10.1442813873	0.0000000000	0.0000000447
42	0.0410156250	10.1514053345	10.1514053345	0.0000000000	0.0000000298
43	0.0419921875	10.1587009430	10.1587009430	0.0000000000	0.0000000000
44	0.0429687500	10.1661682129	10.1661682129	0.0000000000	0.0000000298
45	0.0439453125	10.1738071442	10.1738071442	0.0000000000	0.0000000298
46	0.0449218750	10.1816177368	10.1816177368	0.0000000000	0.0000000000
47	0.0458984375	10.1895999908	10.1895999908	0.0000000000	0.0000000447
48	0.0468750000	10.1977539063	10.1977539062	0.0000000000	0.0000000149
49	0.0478515625	10.2060794830	10.2060794830	0.0000000000	0.0000000149
50	0.0488281250	10.2145767212	10.2145767212	0.0000000000	0.0000000149
51	0.0498046875	10.2232456207	10.2232456207	0.0000000000	0.0000000000
52	0.0507812500	10.2320861816	10.2320861816	0.0000000000	0.0000000298
53	0.0517578125	10.2410984039	10.2410984039	0.0000000000	0.0000000000
54	0.0527343750	10.2502822876	10.2502822876	0.0000000000	0.0000000149
55	0.0537109375	10.2596378326	10.2596378326	0.0000000000	0.0000000000
56	0.0546875000	10.2691650391	10.2691650391	0.0000000000	0.0000000447
57	0.0556640625	10.2788639069	10.2788639069	0.0000000000	0.0000000149
58	0.0566406250	10.2887344360	10.2887344360	0.0000000000	0.0000000000
59	0.0576171875	10.2987766266	10.2987766266	0.0000000000	0.0000000149
60	0.0585937500	10.3089904785	10.3089904785	0.0000000000	0.0000000149
61	0.0595703125	10.3193759918	10.3193759918	0.0000000000	0.0000000000
62	0.0605468750	10.3299331665	10.3299331665	0.0000000000	0.0000000149
63	0.0615234375	10.3406620026	10.3406620026	0.0000000000	0.0000000149
64	0.0625000000	10.3515625000	10.3515625000	0.0000000000	0.0000000298
65	0.0634765625	10.3626346588	10.3626346588	0.0000000000	0.0000000000
66	0.0644531250	10.3738784790	10.3738784790	0.0000000000	0.0000000000
67	0.0654296875	10.3852939606	10.3852939606	0.0000000000	0.0000000000
68	0.0664062500	10.3968811035	10.3968811035	0.0000000000	0.0000000000
69	0.0673828125	10.4086399078	10.4086399078	0.0000000000	0.0000000000
70	0.0683593750	10.4205703735	10.4205703735	0.0000000000	0.0000000000
71	0.0693359375	10.4326725006	10.4326725006	0.0000000000	0.0000000000
